name,region,country,latitude,longitude,timezone,population
New Territories,,Hong Kong,22.4244,114.111,Asia/Hong_Kong,3984077
Shijiazhuang,Hebei,China,38.0414,114.4786,Asia/Shanghai,3938513
Chattogram,Chittagong,Bangladesh,22.3384,91.8317,Asia/Dhaka,3920222
Addis Ababa,,Ethiopia,9.025,38.7469,Africa/Addis_Ababa,3860000
Kunming,Yunnan,China,25.0389,102.7183,Asia/Shanghai,3855346
Zhongshan,Guangdong,China,22.5231,113.3791,Asia/Shanghai,3841873
Nanning,Guangxi,China,22.8167,108.3167,Asia/Shanghai,3839800
Shantou,Guangdong,China,23.3549,116.6788,Asia/Shanghai,3838900
Los Angeles,California,United States,34.0522,-118.2437,America/Los_Angeles,3820914
Faisalabad,Punjab,Pakistan,31.4155,73.0897,Asia/Karachi,3800193
Dubai,,United Arab Emirates,25.0772,55.3093,Asia/Dubai,3790000
Yokohama,Kanagawa,Japan,35.4333,139.65,Asia/Tokyo,3777491
Fuzhou,Fujian,China,26.0614,119.3061,Asia/Shanghai,3740000
Ningbo,Zhejiang,China,29.8782,121.5494,Asia/Shanghai,3731203
Casablanca,Casablanca-Settat,Morocco,33.5883,-7.6114,Africa/Casablanca,3665954
Ibadan,Oyo State,Nigeria,7.3776,3.9059,Africa/Lagos,3649000
Puyang,Zhejiang,China,29.4568,119.8887,Asia/Shanghai,3590000
Ankara,,Turkey,39.9199,32.8543,Europe/Istanbul,3517182
Shiyan,Hubei,China,32.6475,110.7781,Asia/Shanghai,3460000
Berlin,State of Berlin,Germany,52.5244,13.4105,Europe/Berlin,3426354
Tangshan,Hebei,China,39.6438,118.1832,Asia/Shanghai,3372102
Rawalpindi,Punjab,Pakistan,33.5973,73.0479,Asia/Karachi,3357612
Lüliang,Shanxi,China,37.5192,111.1444,Asia/Shanghai,3346500
Durban,KwaZulu-Natal,South Africa,-29.8579,31.0292,Africa/Johannesburg,3338026
Changzhou,Jiangsu,China,31.7736,119.954,Asia/Shanghai,3290918
Busan,,South Korea,35.1017,129.03,Asia/Seoul,3285147
Madrid,,Spain,40.4165,-3.7026,Europe/Madrid,3255944
Pyongyang,,North Korea,39.0339,125.7543,Asia/Pyongyang,3222000
Zibo,Shandong,China,36.7906,118.0633,Asia/Shanghai,3129228
Pune,Maharashtra,India,18.5196,73.8554,Asia/Kolkata,3124458
Bursa,Bursa Province,Turkey,40.1956,29.0601,Europe/Istanbul,3101833
Changsha,Hunan,China,28.1987,112.9709,Asia/Shanghai,3093980
Quezon City,National Capital Region,Philippines,14.6488,121.0509,Asia/Manila,3084270
Jaipur,Rajasthan,India,26.9196,75.7878,Asia/Kolkata,3046163
Guiyang,Guizhou,China,26.5833,106.7167,Asia/Shanghai,3037159
Ürümqi,Xinjiang,China,43.801,87.6005,Asia/Urumqi,3029372
Surabaya,East Java,Indonesia,-7.2492,112.7508,Asia/Jakarta,3018022
Incheon,,South Korea,37.4565,126.7052,Asia/Seoul,3015482
Caracas,Distrito Federal,Venezuela,10.488,-66.8792,America/Caracas,3000000
Lanzhou,Gansu,China,36.057,103.8399,Asia/Shanghai,3000000
Kyiv,Kyiv City,Ukraine,50.4547,30.5238,Europe/Kyiv,2952301
İzmir,İzmir Province,Turkey,38.4127,27.1384,Europe/Istanbul,2938292
Huizhou,Guangdong,China,23.1115,114.4152,Asia/Shanghai,2900113
Buenos Aires,Buenos Aires F.D.,Argentina,-34.6131,-58.3772,America/Argentina/Buenos_Aires,2891082
Haikou,Hainan,China,20.0342,110.3465,Asia/Shanghai,2873358
Taichung,Taiwan,Taiwan,24.1469,120.6839,Asia/Taipei,2850285
Kanpur,Uttar Pradesh,India,26.4652,80.3498,Asia/Kolkata,2823249
Toronto,Ontario,Canada,43.7064,-79.3986,America/Toronto,2794356
Quito,Pichincha,Ecuador,-0.2298,-78.525,America/Guayaquil,2781641
Brisbane,Queensland,Australia,-27.4679,153.0281,Australia/Brisbane,2780063
Luanda,,Angola,-8.8368,13.2343,Africa/Luanda,2776168
Osaka,,Japan,34.6938,135.5011,Asia/Tokyo,2753862
Linyi,Shandong,China,35.0631,118.3428,Asia/Shanghai,2743843
Baoding,Hebei,China,38.8729,115.4625,Asia/Shanghai,2739887
Kaohsiung,Takao,Taiwan,22.6163,120.3133,Asia/Taipei,2737660
Brooklyn,New York,United States,40.6501,-73.9496,America/New_York,2736074
Guayaquil,Guayas,Ecuador,-2.1962,-79.8862,America/Guayaquil,2723665
Belo Horizonte,Minas Gerais,Brazil,-19.9208,-43.9378,America/Sao_Paulo,2721564
Minhang,Shanghai,China,31.1088,121.3747,Asia/Shanghai,2716600
Bazhong,Sichuan,China,31.8694,106.7443,Asia/Shanghai,2712894
Salvador,Bahia,Brazil,-12.9756,-38.491,America/Bahia,2711840
Abuja,FCT,Nigeria,9.0579,7.4951,Africa/Lagos,2690000
Gazipur,Dhaka Division,Bangladesh,23.9984,90.4223,Asia/Dhaka,2674697
Chicago,Illinois,United States,41.85,-87.65,America/Chicago,2664452
Wenzhou,Zhejiang,China,27.9994,120.6668,Asia/Shanghai,2650000
Bekasi,West Java,Indonesia,-6.2349,106.9896,Asia/Jakarta,2648272
Dakar,,Senegal,14.6937,-17.4441,Africa/Dakar,2646503
Haiphong,Hai Phong,Vietnam,20.8648,106.6834,Asia/Bangkok,2625200
Yunfu,Guangdong,China,22.9279,112.0381,Asia/Shanghai,2612800
Navi Mumbai,Maharashtra,India,19.0368,73.0158,Asia/Kolkata,2600000
Mogadishu,Banaadir,Somalia,2.0371,45.3438,Africa/Mogadishu,2587183
Kumasi,Ashanti,Ghana,6.6885,-1.6244,Africa/Accra,2544530
Bandung,West Java,Indonesia,-6.9222,107.6069,Asia/Jakarta,2528163
Gujranwala,Punjab,Pakistan,32.1557,74.187,Asia/Karachi,2511118
Huai'an,Jiangsu,China,33.5886,119.0192,Asia/Shanghai,2494013
Medan,North Sumatra,Indonesia,3.5833,98.6667,Asia/Jakarta,2486283
Lucknow,Uttar Pradesh,India,26.8393,80.9231,Asia/Kolkata,2472011
Ouagadougou,Centre,Burkina Faso,12.3657,-1.5339,Africa/Ouagadougou,2415266
Nagpur,Maharashtra,India,21.1463,79.0849,Asia/Kolkata,2405665
Fortaleza,Ceará,Brazil,-3.7172,-38.5431,America/Fortaleza,2400000
Cali,Valle del Cauca Department,Colombia,3.4305,-76.5199,America/Bogota,2392877
Perth,Western Australia,Australia,-31.9522,115.8614,Australia/Perth,2384371
Daegu,,South Korea,35.8703,128.5911,Asia/Seoul,2365523
Algiers,,Algeria,36.7323,3.0875,Africa/Algiers,2364230
Nanchang,Jiangxi,China,28.684,115.8531,Asia/Shanghai,2357839
Baku,Baki,Azerbaijan,40.3777,49.892,Asia/Baku,2351300
Hohhot,Inner Mongolia,China,40.8106,111.6522,Asia/Shanghai,2350000
Nagoya,Aichi,Japan,35.1815,136.9064,Asia/Tokyo,2332176
Rome,Lazio,Italy,41.8919,12.5113,Europe/Rome,2318895
Queens,New York,United States,40.6815,-73.8365,America/New_York,2316841
Houston,Texas,United States,29.7633,-95.3633,America/Chicago,2314157
Mashhad,Razavi Khorasan,Iran,36.2981,59.6057,Asia/Tehran,2307177
Shaoxing,Zhejiang,China,30.0024,120.5786,Asia/Shanghai,2300000
Nantong,Jiangsu,China,32.0303,120.8747,Asia/Shanghai,2273326
Baoshan,Shanghai,China,31.4084,121.4896,Asia/Shanghai,2265900
Kowloon,,Hong Kong,22.3167,114.1833,Asia/Hong_Kong,2232339
Yantai,Shandong,China,37.4765,121.4408,Asia/Shanghai,2227733
Gaziantep,,Turkey,37.0594,37.3825,Europe/Istanbul,2222415
